state,year,quarter,district,transaction_count,transaction_amount
andhra-pradesh,2024,2,"prakasam district",112437837,202731369689
andhra-pradesh,2024,2,"anantapur district",136536485,225723880453
andhra-pradesh,2024,2,"ysr district",103280919,200094107316
andhra-pradesh,2024,2,"west godavari district",143617131,249493284812
andhra-pradesh,2024,2,"kurnool district",127978397,213990808953
andhra-pradesh,2024,2,"chittoor district",194201427,307619765473
andhra-pradesh,2024,2,"guntur district",191134818,314056718623
andhra-pradesh,2024,2,"krishna district",206843456,335127419350
andhra-pradesh,2024,3,"east godavari district",85529302,134055222841
andhra-pradesh,2024,3,"srikakulam district",62184993,97813235035
andhra-pradesh,2024,3,"visakhapatnam district",213106280,290036726818
andhra-pradesh,2024,3,"sri potti sriramulu nellore district",106917876,175836307089
andhra-pradesh,2024,3,"kurnool district",76743327,116585260974
andhra-pradesh,2024,3,"guntur district",127566851,190039358188
andhra-pradesh,2024,3,"krishna district",53171206,79983950321
andhra-pradesh,2024,3,"annamayya district",62848984,112657755790
andhra-pradesh,2024,3,"ananthapuramu district",91820629,142914453423
andhra-pradesh,2024,3,"vizianagaram district",62554001,95045716716
andhra-pradesh,2024,3,"tirupati district",149968579,211447552571
andhra-pradesh,2024,3,"alluri sitharama raju district",13047314,17711034657
andhra-pradesh,2024,3,"nandyal district",58218141,94767854409
andhra-pradesh,2024,3,"sri sathyasai district",54635514,85171801342
andhra-pradesh,2024,3,"palnadu district",63733956,103932427004
andhra-pradesh,2024,3,"prakasam district",85310768,143771093092
andhra-pradesh,2024,3,"parvathipuram manyam district",16244017,26358426448
andhra-pradesh,2024,3,"dr br ambedkar konaseema district",51948055,82595773585
andhra-pradesh,2024,3,"bapatla district",46247509,74276374977
andhra-pradesh,2024,3,"ntr district",152140699,224873105608
andhra-pradesh,2024,3,"kakinada district",95570509,138371672925
andhra-pradesh,2024,3,"anakapalli district",62265420,94198852698
andhra-pradesh,2024,3,"ysr district",81092780,147753373999
andhra-pradesh,2024,3,"west godavari district",71827279,115940451584
andhra-pradesh,2024,3,"eluru district",81354859,126434474521
andhra-pradesh,2024,3,"chittoor district",65322514,104073350874
andhra-pradesh,2024,4,"east godavari district",96791979,147921011637
andhra-pradesh,2024,4,"srikakulam district",68020232,104655474413
andhra-pradesh,2024,4,"visakhapatnam district",229565019,302371361659
andhra-pradesh,2024,4,"sri potti sriramulu nellore district",114316424,182545036925
andhra-pradesh,2024,4,"kurnool district",84094067,125400553798
andhra-pradesh,2024,4,"guntur district",139286726,201755300053
andhra-pradesh,2024,4,"krishna district",59157277,87816112495
andhra-pradesh,2024,4,"annamayya district",67565763,115547782003
andhra-pradesh,2024,4,"ananthapuramu district",100670947,151922187881
andhra-pradesh,2024,4,"vizianagaram district",68941987,103240952250
andhra-pradesh,2024,4,"tirupati district",159672169,217180680249
andhra-pradesh,2024,4,"alluri sitharama raju district",16328675,22054853299
andhra-pradesh,2024,4,"nandyal district",65846099,107236824037
andhra-pradesh,2024,4,"sri sathyasai district",59833855,91086871790
andhra-pradesh,2024,4,"palnadu district",68725562,111366598419
andhra-pradesh,2024,4,"prakasam district",90937455,149042387778
andhra-pradesh,2024,4,"parvathipuram manyam district",17808047,29400489754
andhra-pradesh,2024,4,"dr br ambedkar konaseema district",59479299,92702253484
andhra-pradesh,2024,4,"bapatla district",50922968,79581355819
andhra-pradesh,2024,4,"ntr district",171465537,247316521377
andhra-pradesh,2024,4,"kakinada district",106856932,150518386058
andhra-pradesh,2024,4,"anakapalli district",68465689,101420705724
andhra-pradesh,2024,4,"ysr district",87733584,154462449389
andhra-pradesh,2024,4,"west godavari district",80979438,126425425232
andhra-pradesh,2024,4,"eluru district",92216645,140703076456
andhra-pradesh,2024,4,"chittoor district",70763169,108340916987
arunachal-pradesh,2018,1,"lower dibang valley district",1356,1076236.814073793
arunachal-pradesh,2018,1,"lower subansiri district",1477,3650727.893614269
arunachal-pradesh,2018,1,"longding district",2321,4361531.578447229
arunachal-pradesh,2018,1,"west siang district",1887,4796675.565399804
arunachal-pradesh,2018,1,"kamle district",14,7971.330494807651
arunachal-pradesh,2018,1,"upper siang district",126,186610.66988095018
arunachal-pradesh,2018,1,"tirap district",945,1064265.0002443574
arunachal-pradesh,2018,1,"papum pare district",14224,32555848.462331478
arunachal-pradesh,2018,1,"kurung kumey district",84,99416.58027150274
arunachal-pradesh,2018,1,"siang district",252,339471.80434222345
arunachal-pradesh,2018,1,"lower siang district",1292,2337960.7148240386
arunachal-pradesh,2018,1,"kra daadi district",207,495375.1454853307
arunachal-pradesh,2018,1,"changlang district",3195,5380749.415278763
arunachal-pradesh,2018,1,"pakke kessang district",9,9131.404205737199
arunachal-pradesh,2018,1,"dibang valley district",2,169.88856537681642
arunachal-pradesh,2018,1,"west kameng district",5787,9540632.547015157
arunachal-pradesh,2018,1,"east siang district",3286,5533620.186295529
arunachal-pradesh,2018,1,"upper subansiri district",735,1358367.5018580484
arunachal-pradesh,2018,1,"east kameng district",529,473824.76595106337
arunachal-pradesh,2018,1,"lohit district",3747,11496949.54576835
arunachal-pradesh,2018,1,"lepa rada district",288,403149.46702687367
arunachal-pradesh,2018,1,"tawang district",2334,5055665.022950603
arunachal-pradesh,2018,1,"namsai district",1400,2162984.705083958
arunachal-pradesh,2018,2,"lower dibang valley district",1827,2561237.506207262
arunachal-pradesh,2018,2,"lower subansiri district",1666,4113742.04406352
arunachal-pradesh,2018,2,"longding district",4634,10271170.165521314
arunachal-pradesh,2018,2,"west siang district",2579,7610989.567485569
arunachal-pradesh,2018,2,"kamle district",12,23654.058373191845
arunachal-pradesh,2018,2,"upper siang district",240,494895.09277159756
arunachal-pradesh,2018,2,"tirap district",1903,3126393.7649546335
arunachal-pradesh,2018,2,"papum pare district",25363,66520931.20355793
arunachal-pradesh,2018,2,"kurung kumey district",83,123737.2220411206
arunachal-pradesh,2018,2,"anjaw district",7,7871.020814692305
arunachal-pradesh,2018,2,"siang district",336,740232.6309634304
arunachal-pradesh,2018,2,"lower siang district",2292,2179451.657976534
arunachal-pradesh,2018,2,"kra daadi district",247,987135.9959717204
arunachal-pradesh,2018,2,"changlang district",6066,13294258.50337311
arunachal-pradesh,2018,2,"pakke kessang district",48,58359.57138935899
arunachal-pradesh,2018,2,"dibang valley district",68,65769.2036735354
arunachal-pradesh,2018,2,"west kameng district",10466,25521321.34140157
arunachal-pradesh,2018,2,"east siang district",6363,15285584.202916935
arunachal-pradesh,2018,2,"upper subansiri district",1285,2911910.3689207276
arunachal-pradesh,2018,2,"east kameng district",522,1825297.4617279815
arunachal-pradesh,2018,2,"lohit district",6962,20520618.881890118
arunachal-pradesh,2018,2,"lepa rada district",511,731444.7370576829
arunachal-pradesh,2018,2,"tawang district",5447,13722374.811357912
arunachal-pradesh,2018,2,"namsai district",3230,6271811.327635023
arunachal-pradesh,2018,3,"lower dibang valley district",2824,6074558.207066888
arunachal-pradesh,2018,3,"lower subansiri district",2346,5154231.737357968
arunachal-pradesh,2018,3,"longding district",5288,18327334.050755527
arunachal-pradesh,2018,3,"west siang district",3337,12966152.792519316
arunachal-pradesh,2018,3,"kamle district",93,30504.94301319112
arunachal-pradesh,2018,3,"upper siang district",250,743956.1055720671
arunachal-pradesh,2018,3,"tirap district",3322,7479257.007852319
arunachal-pradesh,2018,3,"papum pare district",43282,101080479.2917223
arunachal-pradesh,2018,3,"kurung kumey district",255,303027.4066451341
arunachal-pradesh,2018,3,"anjaw district",13,95403.67678261214
arunachal-pradesh,2018,3,"siang district",615,2141734.499956036
arunachal-pradesh,2018,3,"lower siang district",2625,3045590.882295873
arunachal-pradesh,2018,3,"kra daadi district",436,1606758.4080739785
arunachal-pradesh,2018,3,"changlang district",10162,20494174.949715402
arunachal-pradesh,2018,3,"pakke kessang district",165,305164.81707575504
arunachal-pradesh,2018,3,"dibang valley district",29,196466.66696677107
arunachal-pradesh,2018,3,"west kameng district",17026,48528147.45054105
arunachal-pradesh,2018,3,"east siang district",10539,24885270.773230057
arunachal-pradesh,2018,3,"upper subansiri district",1601,4223297.613673143
arunachal-pradesh,2018,3,"east kameng district",1029,3132863.590645522
arunachal-pradesh,2018,3,"lohit district",11595,32702331.664437763
arunachal-pradesh,2018,3,"lepa rada district",523,1777602.4370017413
arunachal-pradesh,2018,3,"tawang district",8715,25733824.994109266
arunachal-pradesh,2018,3,"namsai district",5076,10698272.774381302
arunachal-pradesh,2018,4,"lower dibang valley district",4227,10951332.393937869
arunachal-pradesh,2018,4,"lower subansiri district",3735,8884930.591487257
arunachal-pradesh,2018,4,"longding district",6581,22545311.85089966
arunachal-pradesh,2018,4,"west siang district",3813,14013986.244825875
arunachal-pradesh,2018,4,"kamle district",247,361497.05682825705
arunachal-pradesh,2018,4,"upper siang district",1041,2157332.9473089008
arunachal-pradesh,2018,4,"tirap district",5725,10811742.670586085
arunachal-pradesh,2018,4,"papum pare district",55224,154875448.20778143
arunachal-pradesh,2018,4,"kurung kumey district",444,759686.7195777439
arunachal-pradesh,2018,4,"anjaw district",273,495578.19942643447
arunachal-pradesh,2018,4,"siang district",822,2176630.237443937
arunachal-pradesh,2018,4,"lower siang district",2883,4533291.201383284
arunachal-pradesh,2018,4,"kra daadi district",750,3254327.442489025
arunachal-pradesh,2018,4,"changlang district",13950,32343047.413952358
arunachal-pradesh,2018,4,"pakke kessang district",297,462143.5189972004
arunachal-pradesh,2018,4,"dibang valley district",40,97205.28808666342
arunachal-pradesh,2018,4,"west kameng district",25439,89194886.84322134
arunachal-pradesh,2018,4,"shi yomi district",61,42483.80153055695
arunachal-pradesh,2018,4,"east siang district",12893,34272134.344916776
arunachal-pradesh,2018,4,"upper subansiri district",2686,8771042.079749444
arunachal-pradesh,2018,4,"east kameng district",1750,5936855.710462087
arunachal-pradesh,2018,4,"lohit district",14268,40510521.949797615
arunachal-pradesh,2018,4,"lepa rada district",932,3023578.1893019043
arunachal-pradesh,2018,4,"tawang district",11104,35921510.89403269
arunachal-pradesh,2018,4,"namsai district",7244,17643523.29373534
arunachal-pradesh,2019,1,"lower dibang valley district",6314,13738776.18143886
arunachal-pradesh,2019,1,"lower subansiri district",4994,12615032.122891838
arunachal-pradesh,2019,1,"longding district",7287,25349462.055245366
arunachal-pradesh,2019,1,"west siang district",5921,19426751.301233895
arunachal-pradesh,2019,1,"kamle district",391,725807.1059240355
arunachal-pradesh,2019,1,"upper siang district",1154,2756678.3077581595
arunachal-pradesh,2019,1,"tirap district",6877,14075747.836402504
arunachal-pradesh,2019,1,"papum pare district",70941,188556716.3567257
arunachal-pradesh,2019,1,"kurung kumey district",740,2076644.1215012982
arunachal-pradesh,2019,1,"anjaw district",2116,4643030.795590812
arunachal-pradesh,2019,1,"siang district",1282,2552682.037255951
arunachal-pradesh,2019,1,"lower siang district",3565,6923301.927893572
arunachal-pradesh,2019,1,"kra daadi district",1070,3797175.4842446605
arunachal-pradesh,2019,1,"changlang district",17589,40239141.669717625
arunachal-pradesh,2019,1,"pakke kessang district",545,1682922.8373646357
arunachal-pradesh,2019,1,"dibang valley district",102,301591.38639926765
arunachal-pradesh,2019,1,"west kameng district",34289,101333633.67604163
arunachal-pradesh,2019,1,"shi yomi district",19,212989.63045272
arunachal-pradesh,2019,1,"east siang district",15621,39284373.05409969
arunachal-pradesh,2019,1,"upper subansiri district",3880,14105451.853243299
arunachal-pradesh,2019,1,"east kameng district",2688,9107597.731491327
arunachal-pradesh,2019,1,"lohit district",15896,42834776.778045304
arunachal-pradesh,2019,1,"lepa rada district",1523,4054526.308789035
arunachal-pradesh,2019,1,"tawang district",13102,39489779.13784294
arunachal-pradesh,2019,1,"namsai district",8600,20065516.616355177
arunachal-pradesh,2019,2,"lower dibang valley district",5819,13737167.7479776
arunachal-pradesh,2019,2,"lower subansiri district",5579,14746949.652010633
arunachal-pradesh,2019,2,"longding district",6744,23464027.892812617
arunachal-pradesh,2019,2,"west siang district",8041,24549832.977181494
arunachal-pradesh,2019,2,"kamle district",414,1136776.6962042823
arunachal-pradesh,2019,2,"upper siang district",1079,3993676.3296563537
arunachal-pradesh,2019,2,"tirap district",6868,18633793.43372325
arunachal-pradesh,2019,2,"papum pare district",86433,246640891.34861866
arunachal-pradesh,2019,2,"kurung kumey district",1427,4036511.9338615797
arunachal-pradesh,2019,2,"anjaw district",2473,5220589.920801567
arunachal-pradesh,2019,2,"siang district",1654,5373179.351887872
arunachal-pradesh,2019,2,"lower siang district",3791,7075961.239041175
arunachal-pradesh,2019,2,"kra daadi district",1447,4315353.218765283
arunachal-pradesh,2019,2,"changlang district",18631,48891048.26477764
arunachal-pradesh,2019,2,"pakke kessang district",687,1750138.0587616218
arunachal-pradesh,2019,2,"dibang valley district",98,214966.6162180208
arunachal-pradesh,2019,2,"west kameng district",37430,122521180.75595039
arunachal-pradesh,2019,2,"shi yomi district",13,65209.39364354455
arunachal-pradesh,2019,2,"east siang district",16494,46549881.23941852
arunachal-pradesh,2019,2,"upper subansiri district",4827,18395806.566284098
arunachal-pradesh,2019,2,"east kameng district",2309,8996397.735290494
arunachal-pradesh,2019,2,"lohit district",18693,48893746.831022196
arunachal-pradesh,2019,2,"lepa rada district",2108,5045595.906781289
arunachal-pradesh,2019,2,"tawang district",15960,55915834.5871187
arunachal-pradesh,2019,2,"namsai district",9637,22491356.65721929
arunachal-pradesh,2019,3,"lower dibang valley district",8405,15177864.63915902
arunachal-pradesh,2019,3,"lower subansiri district",8828,21059967.49943525
arunachal-pradesh,2019,3,"longding district",10269,26620415.01923828
arunachal-pradesh,2019,3,"west siang district",11889,30014806.816802975
arunachal-pradesh,2019,3,"kamle district",677,968784.5134103607
arunachal-pradesh,2019,3,"upper siang district",1419,3927440.4417752204
arunachal-pradesh,2019,3,"tirap district",11249,21737827.19336869
arunachal-pradesh,2019,3,"papum pare district",117940,301518075.7016427
arunachal-pradesh,2019,3,"kurung kumey district",1579,3674797.099413435
arunachal-pradesh,2019,3,"anjaw district",4230,9665384.074972186
arunachal-pradesh,2019,3,"siang district",2640,6888800.898705382
arunachal-pradesh,2019,3,"lower siang district",5348,9507511.569068512
arunachal-pradesh,2019,3,"kra daadi district",2187,5520848.186492377
arunachal-pradesh,2019,3,"changlang district",29218,58354823.443366826
arunachal-pradesh,2019,3,"pakke kessang district",977,2145842.2925678995
arunachal-pradesh,2019,3,"dibang valley district",202,675909.9962923382
arunachal-pradesh,2019,3,"west kameng district",53939,147186019.8759076
arunachal-pradesh,2019,3,"shi yomi district",27,30367.754712275342
arunachal-pradesh,2019,3,"east siang district",22611,58040119.9573143
arunachal-pradesh,2019,3,"upper subansiri district",7803,22099628.49449406
arunachal-pradesh,2019,3,"east kameng district",3814,10631335.871797245
arunachal-pradesh,2019,3,"lohit district",24505,54539458.21434432
arunachal-pradesh,2019,3,"lepa rada district",2928,4930337.942058578
arunachal-pradesh,2019,3,"tawang district",24097,72221026.28393415
arunachal-pradesh,2019,3,"namsai district",13453,25507641.015596062
arunachal-pradesh,2019,4,"lower dibang valley district",10376,21103089.24170351
arunachal-pradesh,2019,4,"lower subansiri district",11806,29634357.486805215
arunachal-pradesh,2019,4,"longding district",11018,29245021.393976457
arunachal-pradesh,2019,4,"west siang district",14581,39460255.46641725
arunachal-pradesh,2019,4,"kamle district",999,1620922.3277442688
arunachal-pradesh,2019,4,"upper siang district",4165,12739585.638734035
arunachal-pradesh,2019,4,"tirap district",16459,38467790.7269052
arunachal-pradesh,2019,4,"papum pare district",143272,378838002.3434037
arunachal-pradesh,2019,4,"kurung kumey district",1343,4526789.748638094
arunachal-pradesh,2019,4,"anjaw district",5417,11887950.534618177
arunachal-pradesh,2019,4,"siang district",4756,8833695.424992222
arunachal-pradesh,2019,4,"lower siang district",6628,11985865.259161524
arunachal-pradesh,2019,4,"kra daadi district",2830,7804936.327522229
arunachal-pradesh,2019,4,"changlang district",33963,71874990.9639822
arunachal-pradesh,2019,4,"pakke kessang district",1194,2287739.0120923957
arunachal-pradesh,2019,4,"dibang valley district",267,1240493.0270471391
arunachal-pradesh,2019,4,"west kameng district",66740,198205637.50055438
arunachal-pradesh,2019,4,"shi yomi district",232,170772.72677991798
arunachal-pradesh,2019,4,"east siang district",26605,72075285.44344108
arunachal-pradesh,2019,4,"upper subansiri district",9285,28319761.873849634
arunachal-pradesh,2019,4,"east kameng district",5646,19408662.74847077
arunachal-pradesh,2019,4,"lohit district",29281,67502324.59236205
arunachal-pradesh,2019,4,"lepa rada district",4245,8888753.875914622
arunachal-pradesh,2019,4,"tawang district",30077,91949243.6071119
arunachal-pradesh,2019,4,"namsai district",18290,32501252.235055383
arunachal-pradesh,2020,1,"lower dibang valley district",14400,29552510.9414332
arunachal-pradesh,2020,1,"lower subansiri district",15770,34273250.7179902
arunachal-pradesh,2020,1,"longding district",13240,35267439.983279385
arunachal-pradesh,2020,1,"west siang district",19728,47929440.73153875
arunachal-pradesh,2020,1,"kamle district",1434,3418975.8263023924
arunachal-pradesh,2020,1,"upper siang district",7055,17820679.64619372
arunachal-pradesh,2020,1,"tirap district",18369,40877851.79372531
arunachal-pradesh,2020,1,"papum pare district",180373,457430754.1595316
arunachal-pradesh,2020,1,"kurung kumey district",2294,5942677.061635139
arunachal-pradesh,2020,1,"anjaw district",5025,12808735.858744403
arunachal-pradesh,2020,1,"siang district",5136,11962344.13711079
arunachal-pradesh,2020,1,"lower siang district",8047,15520255.403975137
arunachal-pradesh,2020,1,"kra daadi district",3407,10045462.795181293
arunachal-pradesh,2020,1,"changlang district",43858,93461363.58699805
arunachal-pradesh,2020,1,"pakke kessang district",2044,3425821.315796173
arunachal-pradesh,2020,1,"dibang valley district",397,878784.5955219769
arunachal-pradesh,2020,1,"west kameng district",75363,198712422.2374845
arunachal-pradesh,2020,1,"shi yomi district",117,566189.9936512378
arunachal-pradesh,2020,1,"east siang district",33743,82011539.42531273
arunachal-pradesh,2020,1,"upper subansiri district",12313,33686711.81345673
arunachal-pradesh,2020,1,"east kameng district",7379,20456070.89377439
arunachal-pradesh,2020,1,"lohit district",36985,83701268.27182505
arunachal-pradesh,2020,1,"lepa rada district",5721,11137993.767266009
arunachal-pradesh,2020,1,"tawang district",31865,84425193.41571434
arunachal-pradesh,2020,1,"namsai district",23112,46444942.9567038
arunachal-pradesh,2020,2,"lower dibang valley district",26234,42360072.526896134
arunachal-pradesh,2020,2,"lower subansiri district",25703,46133123.517396785
arunachal-pradesh,2020,2,"longding district",20664,54678022.50234371
arunachal-pradesh,2020,2,"west siang district",32777,72790231.05472675
arunachal-pradesh,2020,2,"kamle district",2397,4126243.0778709752
arunachal-pradesh,2020,2,"upper siang district",10899,28048492.10512026
arunachal-pradesh,2020,2,"tirap district",28830,63497030.840810165
arunachal-pradesh,2020,2,"papum pare district",221728,535085907.34048563
arunachal-pradesh,2020,2,"kurung kumey district",3847,11359743.457053192
arunachal-pradesh,2020,2,"anjaw district",7617,18795023.531477228
arunachal-pradesh,2020,2,"siang district",9827,18585670.46796793
arunachal-pradesh,2020,2,"lower siang district",13321,23571085.32253689
arunachal-pradesh,2020,2,"kra daadi district",5264,15730996.227462547
arunachal-pradesh,2020,2,"changlang district",69279,128572447.99797386
arunachal-pradesh,2020,2,"pakke kessang district",3558,4635272.064395212
arunachal-pradesh,2020,2,"dibang valley district",966,2559724.8369189673
arunachal-pradesh,2020,2,"west kameng district",95421,251395972.22505817
arunachal-pradesh,2020,2,"shi yomi district",302,1222863.4358782358
arunachal-pradesh,2020,2,"east siang district",55680,112693868.8099896
arunachal-pradesh,2020,2,"upper subansiri district",18056,43140688.970285244
arunachal-pradesh,2020,2,"east kameng district",11791,40506284.272980645
arunachal-pradesh,2020,2,"lohit district",56541,114730675.47714493
arunachal-pradesh,2020,2,"lepa rada district",8601,16064862.366431037
arunachal-pradesh,2020,2,"tawang district",44499,121561732.24171817
arunachal-pradesh,2020,2,"namsai district",34972,54870798.31404532
arunachal-pradesh,2020,3,"lower dibang valley district",27655,63469161.328603886
arunachal-pradesh,2020,3,"lower subansiri district",26596,59707234.22223007
arunachal-pradesh,2020,3,"longding district",21445,63273209.984560445
arunachal-pradesh,2020,3,"west siang district",34295,92449732.96070345
arunachal-pradesh,2020,3,"kamle district",2618,5300885.9328534985
arunachal-pradesh,2020,3,"upper siang district",12707,40210852.98915006
arunachal-pradesh,2020,3,"tirap district",30046,81539831.5295825
arunachal-pradesh,2020,3,"papum pare district",298350,859373863.7202578
arunachal-pradesh,2020,3,"kurung kumey district",4391,13864822.733226534
arunachal-pradesh,2020,3,"anjaw district",9751,31524690.460289024
arunachal-pradesh,2020,3,"siang district",10489,21236201.531454768
arunachal-pradesh,2020,3,"lower siang district",12456,28754627.349573277
arunachal-pradesh,2020,3,"kra daadi district",5676,16181045.612635879
arunachal-pradesh,2020,3,"changlang district",73842,159158438.92541084
arunachal-pradesh,2020,3,"pakke kessang district",3469,6301715.335375749
arunachal-pradesh,2020,3,"dibang valley district",899,3061207.2925078664
arunachal-pradesh,2020,3,"west kameng district",111029,332812237.8096209
arunachal-pradesh,2020,3,"shi yomi district",521,3410288.130911609
arunachal-pradesh,2020,3,"east siang district",69710,176323789.94437826
arunachal-pradesh,2020,3,"upper subansiri district",24387,70811197.57521853
arunachal-pradesh,2020,3,"east kameng district",13421,43881134.37096395
arunachal-pradesh,2020,3,"lohit district",65889,156523653.1864311
arunachal-pradesh,2020,3,"lepa rada district",10150,22146313.373236045
arunachal-pradesh,2020,3,"tawang district",56016,182137862.72423625
arunachal-pradesh,2020,3,"namsai district",37019,76484566.53480485
arunachal-pradesh,2020,4,"lower dibang valley district",33455,81929299.56817816
arunachal-pradesh,2020,4,"lower subansiri district",31411,97681186.89595497
arunachal-pradesh,2020,4,"longding district",26089,74890543.91561158
arunachal-pradesh,2020,4,"west siang district",45207,125118193.0493962
arunachal-pradesh,2020,4,"kamle district",3611,10000596.409396999
arunachal-pradesh,2020,4,"upper siang district",19943,78146755.88828371
arunachal-pradesh,2020,4,"tirap district",36124,104709589.6601958
arunachal-pradesh,2020,4,"papum pare district",390528,1205917753.7046227
arunachal-pradesh,2020,4,"kurung kumey district",4581,17134470.4444281
arunachal-pradesh,2020,4,"anjaw district",17228,49318880.51759694
arunachal-pradesh,2020,4,"siang district",12962,32619173.238261122
arunachal-pradesh,2020,4,"lower siang district",14782,33891568.64514145
arunachal-pradesh,2020,4,"kra daadi district",7619,30458774.811469436
arunachal-pradesh,2020,4,"changlang district",84852,204367875.07299304
arunachal-pradesh,2020,4,"pakke kessang district",3064,7503555.503947843
arunachal-pradesh,2020,4,"dibang valley district",1705,6749773.196253154
arunachal-pradesh,2020,4,"west kameng district",129575,390436113.7366377
arunachal-pradesh,2020,4,"shi yomi district",1103,6627025.636333689
arunachal-pradesh,2020,4,"east siang district",88632,250515095.18896666
arunachal-pradesh,2020,4,"upper subansiri district",31426,109405900.7987589
arunachal-pradesh,2020,4,"east kameng district",16340,64104581.33887266
arunachal-pradesh,2020,4,"lohit district",80530,196997836.79933694
arunachal-pradesh,2020,4,"lepa rada district",14338,39340491.723573
arunachal-pradesh,2020,4,"tawang district",67262,240482254.58453605
arunachal-pradesh,2020,4,"namsai district",46762,111916731.51687588
arunachal-pradesh,2021,1,"lower dibang valley district",32427,90709108.52350861
arunachal-pradesh,2021,1,"lower subansiri district",29916,106591162.96103427
arunachal-pradesh,2021,1,"longding district",23962,75573420.97022958
arunachal-pradesh,2021,1,"west siang district",42575,138700637.29161483
arunachal-pradesh,2021,1,"kamle district",3092,11023767.702559106
arunachal-pradesh,2021,1,"upper siang district",21312,73026286.55263102
arunachal-pradesh,2021,1,"tirap district",32043,110593517.1462319
arunachal-pradesh,2021,1,"papum pare district",419891,1388723426.7156572
arunachal-pradesh,2021,1,"kurung kumey district",4962,22483754.80073421
arunachal-pradesh,2021,1,"anjaw district",12823,38844865.55268997
arunachal-pradesh,2021,1,"siang district",13679,42644184.41156319
arunachal-pradesh,2021,1,"lower siang district",13231,37929392.80129131
arunachal-pradesh,2021,1,"kra daadi district",6393,24326518.988243874
arunachal-pradesh,2021,1,"changlang district",78849,220167765.51868472
arunachal-pradesh,2021,1,"pakke kessang district",3563,8146941.7919960935
arunachal-pradesh,2021,1,"dibang valley district",1930,7949867.973505622
arunachal-pradesh,2021,1,"west kameng district",120906,384735272.8434415
arunachal-pradesh,2021,1,"shi yomi district",1251,6905518.17317189
arunachal-pradesh,2021,1,"east siang district",82357,253988360.79783517
arunachal-pradesh,2021,1,"upper subansiri district",28053,116973014.48753676
arunachal-pradesh,2021,1,"east kameng district",16281,77915774.21328105
arunachal-pradesh,2021,1,"lohit district",72380,198534806.934188
arunachal-pradesh,2021,1,"lepa rada district",15690,52794992.77695303
arunachal-pradesh,2021,1,"tawang district",54137,207859088.41115895
arunachal-pradesh,2021,1,"namsai district",45753,116637630.67690115
arunachal-pradesh,2021,2,"lower dibang valley district",42091,105552358.12192997
arunachal-pradesh,2021,2,"lower subansiri district",40081,120717472.89200453
arunachal-pradesh,2021,2,"longding district",31640,96566640.5347223
arunachal-pradesh,2021,2,"west siang district",59341,180700138.79997098
arunachal-pradesh,2021,2,"kamle district",5476,17345427.03524171
arunachal-pradesh,2021,2,"upper siang district",25971,89455180.0696969
arunachal-pradesh,2021,2,"tirap district",46320,144548683.3225929
arunachal-pradesh,2021,2,"papum pare district",552953,1501062555.477559
arunachal-pradesh,2021,2,"kurung kumey district",6623,27396796.623303153
arunachal-pradesh,2021,2,"anjaw district",15311,43475744.23676274
arunachal-pradesh,2021,2,"siang district",17032,52687221.42695154
arunachal-pradesh,2021,2,"lower siang district",17401,45499278.56988002
arunachal-pradesh,2021,2,"kra daadi district",8758,35998227.60012327
arunachal-pradesh,2021,2,"changlang district",105461,264031910.34894213
arunachal-pradesh,2021,2,"pakke kessang district",4424,13097426.072373278
arunachal-pradesh,2021,2,"dibang valley district",1995,9465919.622553768
arunachal-pradesh,2021,2,"west kameng district",164866,482626617.86575466
arunachal-pradesh,2021,2,"shi yomi district",2135,12166777.18507706
arunachal-pradesh,2021,2,"east siang district",106787,286839106.4541313
arunachal-pradesh,2021,2,"upper subansiri district",35856,131912938.7628825
arunachal-pradesh,2021,2,"east kameng district",22015,95352007.56231916
arunachal-pradesh,2021,2,"lohit district",99686,230495504.2475701
arunachal-pradesh,2021,2,"lepa rada district",21273,71336743.85611859
arunachal-pradesh,2021,2,"tawang district",70061,251025037.95363936
arunachal-pradesh,2021,2,"namsai district",64781,147069902.3522784
arunachal-pradesh,2021,3,"lower dibang valley district",50270,133788746.95473914
arunachal-pradesh,2021,3,"lower subansiri district",46105,142674452.19705147
arunachal-pradesh,2021,3,"longding district",32638,100698520.96035638
arunachal-pradesh,2021,3,"west siang district",65763,217065611.3332364
arunachal-pradesh,2021,3,"kamle district",6064,19140719.47908092
arunachal-pradesh,2021,3,"upper siang district",27960,114285857.14806488
arunachal-pradesh,2021,3,"tirap district",47118,143620525.85725695
arunachal-pradesh,2021,3,"papum pare district",710098,1995999756.3372893
arunachal-pradesh,2021,3,"kurung kumey district",7417,30935383.383134913
arunachal-pradesh,2021,3,"anjaw district",22621,69876730.14897071
arunachal-pradesh,2021,3,"siang district",17241,58453201.45572044
arunachal-pradesh,2021,3,"lower siang district",19324,46101622.757140934
arunachal-pradesh,2021,3,"kra daadi district",8974,32167939.60284054
arunachal-pradesh,2021,3,"changlang district",120126,319705502.42197955
arunachal-pradesh,2021,3,"pakke kessang district",5061,12416386.841288097
arunachal-pradesh,2021,3,"dibang valley district",2354,13284361.635290643
arunachal-pradesh,2021,3,"west kameng district",209165,658232385.7409549
arunachal-pradesh,2021,3,"shi yomi district",2559,17495021.72242897
arunachal-pradesh,2021,3,"east siang district",128957,368061706.2429154
arunachal-pradesh,2021,3,"upper subansiri district",46434,191353412.42695975
